Bleu-1,Image,PredCap
0.3125,3251088971_f4471048e3,startseq आदमी और लड़की और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.3125,2757803246_8aa3499d26,startseq आदमी और औरत और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.3125,2224450291_4c133fabe8,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ पानी के पास खड़ा है। endseq
0.3125,2064417101_3b9d817f4a,startseq सफेद और सफेद और सफेद कुत्ते और सफेद और सफेद कुत्ते के साथ दौड़ रहे हैं। endseq
0.3125,1141739219_2c47195e4c,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.310885919,3259222690_69737f2a6e,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के साथ खड़ा है। endseq
0.30959925,538825260_a4a8784b75,startseq लड़का और लड़की और लड़की और महिला और महिला के साथ खेल रहे हैं। endseq
0.307692308,837893113_81854e94e3,startseq लड़का और लड़की और सफेद और सफेद शर्ट में लड़का खेल रहे हैं। endseq
0.307692308,3692836015_d11180727b,startseq आदमी और लड़की और महिला और महिला और महिला के साथ खड़ा है। endseq
0.307692308,3565749152_7924d15b04,startseq काला और सफेद कुत्ता अपने मुँह में छड़ी के साथ खेल रहा है। endseq
0.307692308,3455898176_f0e003ce58,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.307692308,3412036192_d8cd12ed3f,startseq काला और सफेद कुत्ता अपने मुँह में छड़ी के साथ खेल रहा है। endseq
0.307692308,3308488725_f91d9aba27,startseq लड़का और लड़की और लड़की और लड़की और लड़की को खेल रहे हैं। endseq
0.307692308,3246773992_89bf86937b,startseq आदमी और महिला और महिला और महिला और महिला के साथ खड़ा है। endseq
0.307692308,2839532455_36a7dc4758,startseq काला और सफेद कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.307692308,2804851816_9aae9071ca,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.307692308,2268601066_b018b124fd,startseq आदमी और लड़की और महिला और महिला और महिला के साथ खड़ा है। endseq
0.307692308,2263655670_517890f5b7,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.307692308,2245618207_fa486ba2b7,startseq आदमी और लड़की और महिला और महिला और महिला के साथ खड़ा है। endseq
0.307692308,2215165918_2bf5b659dd,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.307692308,195084264_72fb347b0f,startseq आदमी और लड़की और महिला और महिला और महिला के साथ खड़ा है। endseq
0.307692308,1334892555_1beff092c3,startseq लड़का और लड़की और महिला और सफेद और सफेद कुत्ता खेल रहे हैं। endseq
0.306681472,3693297007_94512e861e,startseq आदमी और सफेद और सफेद कुत्ता अपने मुंह में कूद रहा है। endseq
0.306566201,42637986_135a9786a6,startseq आदमी पानी में कूद रहा है। endseq
0.306283883,2432061076_0955d52854,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.30326533,497791037_93499238d8,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.30326533,2884301336_dc8e974431,startseq आदमी पानी में कूद रहा है। endseq
0.30326533,2173677067_9d0732bcc2,startseq लड़का पानी में कूद रहा है। endseq
0.303182879,3564738125_10400f69c0,startseq आदमी बर्फ में बर्फ से ढकी पहाड़ के साथ खड़ा है। endseq
0.303182879,3336808362_c17837afd8,startseq आदमी और महिला और महिला कैमरे के लिए पोज़ देते हैं। endseq
0.303182879,2249865945_f432c8e5da,startseq भूरे रंग का कुत्ता पानी के माध्यम से चल रहा है। endseq
0.303123461,109823Q395_6fb423a90f,startseq आदमी बर्फ में चट्टान पर खड़ा है। endseq
